timestep,portfolio_value,portfolio_value_usd,cash,cash_usd,capacity_value,capacity_value_usd,wind_capacity,solar_capacity,hydro_capacity,battery_soc,battery_action,battery_revenue,operational_revenue,cash_return,noise_return,step_return,investments,total_investment_cost,price,wind_gen,solar_gen,hydro_gen,num_investments
6927,5547983211.917418,804457565.7280254,1134185869.0245323,164456951.00855717,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.16458333333334194,charge,-3862.1045354166663,2079.4738844583444,431.57741150955894,819746.8212398621,-2.4352144900326993e-07,[],0.0,926.9050885,130.708,0.0,417.568,0
6928,5547981784.341562,804457358.7295265,1134184441.448677,164456744.01005816,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.2000000000000086,charge,-3854.6463249999997,1995.4936016436484,431.57686829216465,368641.2863463738,-2.5731437906816373e-07,[],0.0,925.115118,125.672,0.0,357.556,0
6929,5547980280.568352,804457140.682411,1134182937.675466,164456525.96294257,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.23541666666667524,charge,-3847.1881145833327,1911.8386075273977,431.57629608035387,390451.21371475764,-2.710486928363233e-07,[],0.0,923.3251475,120.637,0.0,315.99,0
6930,5547978700.891317,804456911.629241,1134181357.9984326,164456296.90977272,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.2708333333333419,charge,-3839.729904166666,1828.4771756613964,431.575694985821,639232.437324097,-2.847301097862274e-07,[],0.0,921.535177,115.601,0.0,330.448,0
6931,5547976988.972496,804456663.4010118,1134179646.0796103,164456048.6815435,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.30625000000000857,charge,-3806.3233986111104,1662.8295327113942,431.57504357099185,-468814.5154868395,-3.0856622089407236e-07,[],0.0,913.5176156666666,106.051,0.0,258.534,0
6932,5547975147.427803,804456396.3770313,1134177804.5349178,164455781.65756306,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.3416666666666752,charge,-3772.9168930555543,1499.7978576484231,431.57434283126906,40925.85913869009,-3.3193084554127256e-07,[],0.0,905.5000543333332,96.5002,0.0,304.942,0
6933,5547973178.893516,804456110.9395597,1134175836.0006306,164455496.22009143,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.3770833333333419,charge,-3739.5103874999995,1339.4025063352383,431.5735937698009,525924.0519393994,-3.5482031464495034e-07,[],0.0,897.482493,86.9499,0.0,253.349,0
6934,5547971085.99807,804455807.46972,1134173743.105185,164455192.75025183,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.4125000000000085,charge,-3706.103881944444,1181.6356390082692,431.57279738675334,1331672.7304333202,-3.7723604248589304e-07,[],0.0,889.4649316666666,77.3996,0.0,311.398,0
6935,5547968871.369904,804455486.3486359,1134171528.4770188,164454871.6291677,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.4479166666666752,charge,-3672.697376388888,1026.4972556675157,431.57195468229224,-37459.607697559404,-3.9917802956615857e-07,[],0.0,881.4473703333333,67.8493,0.0,360.088,0
6936,5547966537.635957,804455147.9572136,1134169194.7430718,164454533.2377454,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.48333333333334183,charge,-3639.2908708333325,873.9858571665837,431.5710666560141,846458.2471711066,-4.2064654667465477e-07,[],0.0,873.429809,58.2989,0.0,348.645,0
6937,5547964200.88856,804454809.1288412,1134166857.995675,164454194.40937287,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5187500000000085,charge,-3631.7808937499994,863.4633196029029,431.570177483066,700384.5632707773,-4.211898865318008e-07,[],0.0,871.6274145,57.7161,0.0,405.344,0
6938,5547961861.162279,804454469.8685304,1134164518.2693937,164453855.14906207,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5541666666666751,charge,-3624.270916666666,852.9753482252238,431.5692871766007,592899.051515052,-4.217269968669493e-07,[],0.0,869.82502,57.1332,0.0,340.533,0
6939,5547959518.494667,804454130.1817267,1134162175.601782,164453515.4622584,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5895833333333418,charge,-3616.760939583333,842.5249320454974,431.568395750908,677441.602419142,-4.222573389473562e-07,[],0.0,868.0226255,56.5504,0.0,201.781,0
6940,5547957172.920296,804453790.0734428,1134159830.027411,164453175.35397458,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6250000000000084,charge,-3609.2509624999993,832.1090882389974,431.56750321914296,-124694.68883815939,-4.227814502825207e-07,[],0.0,866.220231,55.9675,0.0,423.147,0
6941,5547954824.476714,804453449.5491235,1134157481.5838287,164452834.82965514,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6604166666666751,charge,-3601.7409854166663,821.7307934432258,431.56660959559326,-862639.0648140098,-4.232987942019311e-07,[],0.0,864.4178365,55.3847,0.0,283.488,0
6942,5547952473.198498,804453108.6137822,1134155130.3056123,164452493.89431378,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6958333333333417,charge,-3594.2310083333327,811.3870772079049,431.5657148934161,-1276845.1730939539,-4.238099066684043e-07,[],0.0,862.615442,54.8018,0.0,333.536,0
6943,5547950178.851408,804452775.9334542,1134152835.9585226,164452161.21398577,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.7312500000000084,charge,-3624.5817027777775,898.6697711844099,431.56484185452086,340637.692798181,-4.135484398705965e-07,[],0.0,869.8996086666667,60.1887,0.0,330.432,0
6944,5547947942.780952,804452451.703238,1134150599.8880675,164451836.98376977,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.766666666666675,charge,-3654.9323972222214,987.2979509565216,431.5639909908966,-595678.5128685896,-4.0304443685795336e-07,[],0.0,877.1837753333333,65.5755,0.0,337.294,0
6945,5547945766.335639,804452136.1186676,1134148423.4427538,164451521.39919928,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.8020833333333417,charge,-3685.283091666666,1077.2746152010975,431.5631628156739,-392470.3614940929,-3.9229735677056734e-07,[],0.0,884.467942,70.9624,0.0,327.561,0
