timestep,portfolio_value,weights,returns,price,optimization_method,total_return,sharpe_ratio,max_drawdown,volatility,var_95,calmar_ratio,sortino_ratio,information_ratio
60,5516206392.198963,[0.2 0.2 0.2 0.2 0.2],"[-1.04953305e-04 -8.68429666e-05 -4.66131778e-05 -7.57077222e-05
  2.28310502e-06]",15.81,equal_weight,-0.00018759141393807528,-15.20264137497016,-0.00033294896866833663,0.0031169593465362813,-6.0860239501148734e-05,-0.5634239225559589,0.0,0.0
61,5516342993.287013,[0.2 0.2 0.2 0.2 0.2],"[-1.23215471e-04  1.05117608e-04  2.37956124e-04 -9.83234029e-05
  2.28310502e-06]",17.575,equal_weight,-0.00016283246672903296,-13.953199288898427,-0.00033294896866833663,0.0031090253118075187,-6.078094613708591e-05,-0.4890613338743713,0.0,0.0
62,5516373741.404732,[0.2 0.2 0.2 0.2 0.2],"[ 1.45093718e-04 -2.25486222e-05 -9.33491934e-05 -3.60898762e-06
  2.28310502e-06]",19.34,equal_weight,-0.0001572593703925192,-13.682646402592976,-0.00033294896866833663,0.0030853816746585715,-6.0575660637890735e-05,-0.4723227436970119,0.0,0.0
63,5516367005.699194,[0.2 0.2 0.2 0.2 0.2],"[ 8.00706887e-05  3.66517077e-05 -1.34485612e-04  9.37491747e-06
  2.28310502e-06]",21.105,equal_weight,-0.00015848021702124474,-13.732634396880503,-0.00033294896866833663,0.00306083522599871,-6.0370375138695566e-05,-0.4759895117113669,0.0,0.0
64,5516585865.043102,[0.2 0.2 0.2 0.2 0.2],"[-4.11432808e-05  1.80563681e-05  9.78188678e-05  1.21357658e-04
  2.28310502e-06]",22.87,equal_weight,-0.00011881196093786357,-11.787348387604727,-0.00033294896866833663,0.0030760613792066957,-6.0165089639500396e-05,-0.3568473613631066,0.0,0.0
65,5516952349.348028,[0.2 0.2 0.2 0.2 0.2],"[9.30462599e-05 6.26591327e-05 1.62594025e-04 1.15833439e-05
 2.28310502e-06]",24.635,equal_weight,-5.2386680670040835e-05,-8.583416080341,-0.00033294896866833663,0.003152046551309816,-5.995980414030522e-05,-0.15734147151609063,0.0,0.0
66,5516652576.467154,[0.2 0.2 0.2 0.2 0.2],"[-3.48558543e-05 -1.30306282e-05 -1.61061599e-04 -6.50184295e-05
  2.28310502e-06]",26.4,equal_weight,-0.00010672051532856821,-10.717361428299244,-0.00033294896866833663,0.0031873878556703925,-5.975451864111005e-05,-0.32053114852827985,0.0,0.0
67,5516708812.136165,[0.2 0.2 0.2 0.2 0.2],"[ 4.56223905e-05 -3.42712456e-06  5.03986597e-05 -4.39080162e-05
  2.28310502e-06]",26.598333333333333,equal_weight,-9.652780032030343e-05,-10.300894252064811,-0.00033294896866833663,0.003166350037346033,-5.954923314191488e-05,-0.28991770332365413,0.0,0.0
68,5516533503.603526,[0.2 0.2 0.2 0.2 0.2],"[ 1.51827014e-04 -9.38326591e-06 -1.90175228e-04 -1.13440320e-04
  2.28310502e-06]",26.796666666666667,equal_weight,-0.00012830247186104056,-11.552835666356637,-0.00033294896866833663,0.003161511645328269,-5.934394764271971e-05,-0.38535176238628815,0.0,0.0
69,5516495470.808874,[0.2 0.2 0.2 0.2 0.2],"[ 2.29210142e-05 -1.04589435e-04  1.67187493e-04 -1.22273820e-04
  2.28310502e-06]",26.995,equal_weight,-0.00013519591589171288,-11.838165768897564,-0.00033294896866833663,0.0031390183906633354,-5.9138662143524535e-05,-0.40605596837390046,0.0,0.0
70,5516319059.487889,[0.2 0.2 0.2 0.2 0.2],"[-2.13474275e-04  6.73592437e-05 -7.99449694e-05  6.38825189e-05
  2.28310502e-06]",27.19333333333333,equal_weight,-0.0001671704678202152,-13.054587581041453,-0.00033294896866833663,0.0031343006153135506,-5.8933376644329366e-05,-0.5020903608406734,0.0,0.0
71,5516246380.027283,[0.2 0.2 0.2 0.2 0.2],"[ 1.46791181e-04 -1.13332095e-04 -5.20553209e-05 -4.95636434e-05
  2.28310502e-06]",27.391666666666666,equal_weight,-0.00018034362005515692,-13.565264546555325,-0.00033294896866833663,0.003114423243633013,-5.872809114513419e-05,-0.5416554398004584,0.0,0.0
72,5516177914.844848,[0.2 0.2 0.2 0.2 0.2],"[ 1.21594536e-04 -5.66083492e-05 -9.96311389e-05 -2.96959158e-05
  2.28310502e-06]",27.59,equal_weight,-0.00019275293437150714,-14.040236631961605,-0.00033294896866833663,0.003094609366882445,-5.852280564593902e-05,-0.5789263596233446,0.0,0.0
73,5516498460.703714,[0.2 0.2 0.2 0.2 0.2],"[-1.99090090e-04  1.94297666e-04  1.40903796e-04  1.52156212e-04
  2.28310502e-06]",27.653333166666663,equal_weight,-0.0001346539974519193,-11.500711785342716,-0.00033294896866833663,0.0031436846778031963,-5.831752014674385e-05,-0.404428336241682,0.0,0.0
74,5516655473.759604,[0.2 0.2 0.2 0.2 0.2],"[ 3.90910008e-05 -6.32504220e-05  1.84786069e-04 -2.05975083e-05
  2.28310502e-06]",27.716666333333333,equal_weight,-0.00010619538107184171,-10.373296228259996,-0.00033294896866833663,0.0031395003665318625,-5.8112234647548674e-05,-0.3189539270735121,0.0,0.0
75,5516634754.199154,[0.2 0.2 0.2 0.2 0.2],"[ 4.53162112e-05 -8.91207061e-05 -8.51881025e-05  1.07930396e-04
  2.28310502e-06]",27.7799995,equal_weight,-0.0001099508014035046,-10.529753975528951,-0.00033294896866833663,0.0031185996846110333,-5.7906949148353504e-05,-0.33023319412360413,0.0,0.0
76,5516516022.244992,[0.2 0.2 0.2 0.2 0.2],"[-3.45986689e-05  8.47223821e-05 -7.51862732e-05 -8.48332107e-05
  2.28310502e-06]",27.84333266666667,equal_weight,-0.00013147096809530256,-11.319000006512082,-0.00033294896866833663,0.003105390965300651,-5.7701663649158335e-05,-0.39486822446434994,0.0,0.0
77,5516317108.396341,[0.2 0.2 0.2 0.2 0.2],"[-5.02532694e-05 -3.21789235e-05  1.34327702e-05 -1.13573060e-04
  2.28310502e-06]",27.90666583333333,equal_weight,-0.00016752410316328404,-12.57200661013158,-0.00033294896866833663,0.003106531682922115,-5.749637814996316e-05,-0.5031524916064879,0.0,0.0
78,5516166264.534922,[0.2 0.2 0.2 0.2 0.2],"[-9.45984561e-05 -1.69993682e-05 -1.04434443e-05 -1.69669906e-05
  2.28310502e-06]",27.969999,equal_weight,-0.00019486455304560063,-13.519464757388253,-0.00033294896866833663,0.0030979107326003104,-5.729109265076799e-05,-0.5852685287627749,0.0,0.0
79,5516456002.593955,[0.2 0.2 0.2 0.2 0.2],"[-5.44417772e-05 -4.21404524e-05  1.76877158e-04  1.80048259e-04
  2.28310502e-06]",28.0433325,equal_weight,-0.000142349529845798,-11.425653752595796,-0.00033294896866833663,0.0031316183211283067,-5.708580715157281e-05,-0.4275415851718642,0.0,0.0
80,5516935345.112928,[0.2 0.2 0.2 0.2 0.2],"[1.18646595e-05 1.06832979e-04 9.23095546e-05 2.21175706e-04
 2.28310502e-06]",28.116666,equal_weight,-5.546869828187823e-05,-8.031574348636305,-0.00033294896866833663,0.003245779740531934,-5.688052165237764e-05,-0.1665981982275871,0.0,0.0
81,5516956722.23911,[0.2 0.2 0.2 0.2 0.2],"[ 1.03725348e-04  2.02052033e-04 -1.39120708e-04 -1.49565684e-04
  2.28310502e-06]",28.1899995,equal_weight,-5.1594094161462774e-05,-7.927628131863782,-0.00033294896866833663,0.0032260272416785862,-5.6675236153182474e-05,-0.15496096704494572,0.0,0.0
82,5516826754.294601,[0.2 0.2 0.2 0.2 0.2],"[-3.35062937e-05 -8.98813147e-05  6.18370029e-05 -5.85220265e-05
  2.28310502e-06]",28.263333,equal_weight,-7.515078410363792e-05,-8.716653315940441,-0.00033294896866833663,0.0032149303646957926,-5.655830840436799e-05,-0.2257126201778343,0.0,0.0
83,5516778812.474669,[0.2 0.2 0.2 0.2 0.2],"[ 1.15045327e-04 -2.41888071e-04  1.55991399e-05  6.55099587e-05
  2.28310502e-06]",28.3366665,equal_weight,-8.384023896631001e-05,-9.023627036414283,-0.00033294896866833663,0.003196490532247492,-5.644138065555351e-05,-0.25181107874169906,0.0,0.0
